,יום מכירה,מחיר עסקה,כתובת,גוש חלקה,מ״ר,סוכ נכס  מספר חדרים קומה
318,24/12/2013,"₪7,899,000",ברנדיס 19,6212-551-2,259,דירה בבית קומות 4 קרקע/ראשונה/גג
319,09/12/2013,"₪3,700,000",יעקב דה-האז 20,6212-593-3,94,דירה בבית קומות 5 שניה
320,28/11/2013,"₪1,680,000",חוני המעגל 6,6212-991-28,35,דירה בבית קומות 3 קרקע
321,21/11/2013,"₪1,700,000",דה האז 7,6212-563-23,47,דירה בבית קומות 2 שלישית
322,21/11/2013,"₪1,820,000",יעקב דה-האז 28,6212-927-5,57,דירה בבית קומות 2 שלישית
323,12/11/2013,"₪2,700,000",ברנדייס 3,6212-1149-15,72,דירה בבית קומות 3 שלישית
324,11/11/2013,"₪1,200,000",מרים החשמונאית 9,6212-1032-16,66,דירה בבית קומות 3 -------
325,30/10/2013,"₪2,105,000",יעקב דה-האז 14,6212-590-9,55,דירה בבית קומות 3 שלישית
326,16/10/2013,"₪2,450,000",פנקס 19,6212-929-7,89,דירה בבית קומות 3.5 ראשונה
327,26/08/2013,"₪2,600,000",יעקב דה-האז 28,6212-927-4,75,דירה בבית קומות 3 שלישית
328,25/08/2013,"₪1,608,000",לואי מרשל 14,6212-605-5,53,דירה בבית קומות 2 שלישית
329,16/08/2013,"₪2,100,000",מרים החשמונאית 3,6212-1029-20,62,דירה בבית קומות 3 שניה
330,31/07/2013,"₪2,925,000",יעקב דה-האז 8,6212-1041-2,80,דירה בבית קומות 3 ראשונה
331,21/07/2013,"₪1,870,000",לואי מרשל 11,6212-1252-6,37,דירה בבית קומות 2 שניה
332,09/06/2013,"₪1,500,000",פנקס 19,6212-929-1,47,דירה בבית קומות 2.5 עמודים
333,04/06/2013,"₪1,850,000",יעקב דה-האז 12,6212-589-10,44,דירה בבית קומות 2 שניה
334,30/05/2013,"₪2,200,000",מרים החשמונאית 10,6212-987-49,70,דירה בבית קומות 3 שלישית
335,03/05/2013,"₪1,700,000",יעקב דה-האז 3,6212-539-8,65,דירה בבית קומות 3 שלישית
336,23/04/2013,"₪2,250,000",חוני המעגל 7,6212-1043-11,78,דירה בבית קומות 3 שלישית
337,07/04/2013,"₪2,400,000",יהודה המכבי 14,6212-545-7,86,דירה בבית קומות 3 שלישית
338,21/02/2013,"₪2,340,000",מרים החשמונאית 22,6212-1192-15,83,דירה בבית קומות 3 שלישית
339,07/01/2013,"₪2,424,000",מרים החשמונאית 18,6212-987-38,70,דירה בבית קומות 3 שלישית
340,28/12/2012,"₪1,349,000",יהודה המכבי 16,6212-547-2,40,דירה בבית קומות 2 ראשונה
341,06/12/2012,"₪1,550,000",אריסטובול 6,6212-1150-10,40,דירה בבית קומות 2 שניה
342,23/11/2012,"₪1,600,000",פנקס 19,6212-929-2,48,דירה בבית קומות 2 עמודים
343,20/11/2012,"₪1,900,000",מרים החשמונאית 9,6212-1032-12,66,דירה בבית קומות 3 -------
344,12/11/2012,"₪1,700,000",יעקב דה-האז 5,6212-564-6,68,דירה בבית קומות 2 שלישית
